Comparison,Group 1,Group 2,Reaction ID,Reaction name,Subsystem,D,p-value,q-value (BH),Median Egg,Median L1,Delta median,Pooled range,Relative delta,Rank D,Rank relative delta,Combined score,Higher median in,Shown in Fig. 5,Equation,Median L2,Median L3,Median L4,Median L4f,Median Af,Median L4m,Median Am
Egg vs L1,Egg,L1,MAR03804,L-glutamate:NADP+ oxidoreductase (deaminating),"Alanine, aspartate and glutamate metabolism",1.0,0.0,0.0,-0.116006,0.46589,0.581896,0.749431,0.7765,1,1,2,L1,yes,AKG[m] + 2 H+[m] + NADPH[m] + NH3[m] <=> glutamate[m] + H2O[m] + NADP+[m],,,,,,,
Egg vs L1,Egg,L1,MAR06911,Complex II reaction for respiratory chain,Oxidative phosphorylation,1.0,0.0,0.0,0.05262,2.121523,2.068903,2.713746,0.7624,1,2,3,L1,yes,FADH2[m] + ubiquinone[m] <=> FAD[m] + ubiquinol[m],,,,,,,
Egg vs L1,Egg,L1,MAR02148,Trans-Oct-2-Enoyl Coenzyme A Reductase,Fatty acid oxidation,1.0,0.0,0.0,0.012268,0.301449,0.289181,0.380345,0.7603,1,3,4,L1,yes,NADP+[m] + octanoyl-CoA[m] <=> (2E)-octenoyl-CoA[m] + H+[m] + NADPH[m],,,,,,,
Egg vs L1,Egg,L1,MAR03150,(S)-Hydroxyoctanoyl-CoA hydro-lyase,Beta oxidation of even-chain fatty acids (mitochondrial),1.0,0.0,0.0,0.012268,0.301449,0.289181,0.380345,0.7603,1,4,5,L1,,(2E)-octenoyl-CoA[m] + H2O[m] => (S)-hydroxyoctanoyl-CoA[m],,,,,,,
Egg vs L1,Egg,L1,MAR03151,(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase,Beta oxidation of even-chain fatty acids (mitochondrial),1.0,0.0,0.0,0.012268,0.301449,0.289181,0.380345,0.7603,1,5,6,L1,,(S)-hydroxyoctanoyl-CoA[m] + NAD+[m] => 3-oxooctanoyl-CoA[m] + H+[m] + NADH[m],,,,,,,
Egg vs L1,Egg,L1,MAR03153,Hexanoyl-CoA:acetyl-CoA C-acyltransferase,Beta oxidation of even-chain fatty acids (mitochondrial),1.0,0.0,0.0,0.012268,0.301449,0.289181,0.380345,0.7603,1,6,7,L1,,3-oxooctanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + hexanoyl-CoA[m],,,,,,,
Egg vs L1,Egg,L1,MAR06279,"Fatty Acid Beta Oxidation (C6:1->C4:0), Mitochondrial",Fatty acid oxidation,1.0,0.0,0.0,0.012268,0.301449,0.289181,0.380345,0.7603,1,7,8,L1,,(2E)-hexenoyl-CoA[m] + CoA[m] + H2O[m] + NAD+[m] => acetyl-CoA[m] + butyryl-CoA[m] + H+[m] + NADH[m],,,,,,,
Egg vs L1,Egg,L1,MAR05449,"Fatty Acid Beta Oxidation (C4->C2), Mitochondrial",Fatty acid oxidation,1.0,0.0,0.0,0.012268,0.301449,0.289181,0.380345,0.7603,1,8,9,L1,,butyryl-CoA[m] + CoA[m] + FAD[m] + H2O[m] + NAD+[m] => 2 acetyl-CoA[m] + FADH2[m] + H+[m] + NADH[m],,,,,,,
Egg vs L1,Egg,L1,MAR04967,"Fatty Acid Beta Oxidation (C10:1->C8), Mitochondrial",Fatty acid oxidation,1.0,0.0,0.0,0.012268,0.301449,0.289181,0.380345,0.7603,1,9,10,L1,,(2E)-decenoyl-CoA[m] + CoA[m] + H2O[m] + NAD+[m] => acetyl-CoA[m] + H+[m] + NADH[m] + octanoyl-CoA[m],,,,,,,
Egg vs L1,Egg,L1,MAR02207,Trans-Hex-2-Enoyl Coenzyme A Reductase,Fatty acid oxidation,1.0,0.0,0.0,-0.012268,-0.301449,-0.289181,0.380345,0.7603,1,10,11,Egg,,(2E)-hexenoyl-CoA[m] + H+[m] + NADPH[m] <=> hexanoyl-CoA[m] + NADP+[m],,,,,,,
Egg vs L1,Egg,L1,MAR09641,Transport of sphingosine (c to e),Extracellular transport,1.0,0.0,0.0,0.016433,0.473153,0.45672,0.642023,0.7114,1,11,12,L1,yes,sphingosine[c] <=> sphingosine[e],,,,,,,
Egg vs L1,Egg,L1,MAR11947,Exchange of Sphingosine,Exchange/demand reactions,1.0,0.0,0.0,0.016433,0.473153,0.45672,0.642023,0.7114,1,12,13,L1,,sphingosine[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR00758,acyl-CoA:sphingosine N-acyltransferase,Sphingolipid metabolism,1.0,0.0,0.0,0.016433,0.473153,0.45672,0.642023,0.7114,1,13,14,L1,,ceramide pool[c] + CoA[c] + H+[c] => sphingosine[c] + acyl-CoA pool[c],,,,,,,
Egg vs L1,Egg,L1,MAR03136,(S)-3-Hydroxydodecanoyl-CoA hydro-lyase,Beta oxidation of even-chain fatty acids (mitochondrial),1.0,0.0,0.0,0.012268,0.088503,0.076235,0.10806,0.7055,1,14,15,L1,yes,(2E)-dodecenoyl-CoA[m] + H2O[m] => (S)-3-hydroxydodecanoyl-CoA[m],,,,,,,
Egg vs L1,Egg,L1,MAR03137,(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase,Beta oxidation of even-chain fatty acids (mitochondrial),1.0,0.0,0.0,0.012268,0.088503,0.076235,0.10806,0.7055,1,15,16,L1,,(S)-3-hydroxydodecanoyl-CoA[m] + NAD+[m] => 3-oxododecanoyl-CoA[m] + H+[m] + NADH[m],,,,,,,
Egg vs L1,Egg,L1,MAR03139,Decanoyl-CoA:acetyl-CoA C-acyltransferase,Beta oxidation of even-chain fatty acids (mitochondrial),1.0,0.0,0.0,0.012268,0.088503,0.076235,0.10806,0.7055,1,16,17,L1,,3-oxododecanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + decanoyl-CoA[m],,,,,,,
Egg vs L1,Egg,L1,MAR02187,Trans-Dec-2-Enoyl Coenzyme A Reductase,Fatty acid oxidation,1.0,0.0,0.0,0.012268,0.088503,0.076235,0.10806,0.7055,1,17,18,L1,,decanoyl-CoA[m] + NADP+[m] <=> (2E)-decenoyl-CoA[m] + H+[m] + NADPH[m],,,,,,,
Egg vs L1,Egg,L1,MAR03802,L-glutamate:NAD+ oxidoreductase (deaminating),"Alanine, aspartate and glutamate metabolism",1.0,0.0,0.0,0.123897,-0.381332,-0.505229,0.726202,0.6957,1,18,19,Egg,,AKG[m] + 2 H+[m] + NADH[m] + NH3[m] <=> glutamate[m] + H2O[m] + NAD+[m],,,,,,,
Egg vs L1,Egg,L1,MAR04914,CoA transporter  mitochondrial   irreversible,Mitochondrial transport,1.0,0.0,0.0,-0.01343,-0.079713,-0.066283,0.098465,0.6732,1,23,24,Egg,,CoA[c] <=> CoA[m],,,,,,,
Egg vs L1,Egg,L1,MAR04652,succinate:quinone oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,1.0,0.0,0.0,-0.049799,-5.818523,-5.768723,9.78905,0.5893,1,24,25,Egg,,fumarate[m] + ubiquinol[m] <=> succinate[m] + ubiquinone[m],,,,,,,
Egg vs L1,Egg,L1,MAR09058,CO2 exchange,Exchange/demand reactions,1.0,0.0,0.0,0.501635,12.658194,12.15656,22.24167,0.5466,1,25,26,L1,,CO2[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR04919,CO2 transporter via diffusion,Extracellular transport,1.0,0.0,0.0,0.501635,12.658194,12.15656,22.24167,0.5466,1,26,27,L1,,CO2[c] <=> CO2[e],,,,,,,
Egg vs L1,Egg,L1,MAR04898,O2 transport  diffusion ,Mitochondrial transport,1.0,0.0,0.0,0.056721,10.161865,10.105143,19.214737,0.5259,1,29,30,L1,,O2[c] <=> O2[m],,,,,,,
Egg vs L1,Egg,L1,MAR06914,ferrocytochrome-c:oxygen oxidoreductase,Oxidative phosphorylation,1.0,0.0,0.0,0.055631,9.580297,9.524665,18.393392,0.5178,1,31,32,L1,,4 ferrocytochrome C[m] + 8 H+[m] + O2[m] => 4 ferricytochrome C[m] + 2 H2O[m] + 4 H+[i],,,,,,,
Egg vs L1,Egg,L1,MAR06918,ubiquinol:ferricytochrome-c oxidoreductase,Oxidative phosphorylation,1.0,0.0,0.0,0.111263,19.160593,19.04933,36.786784,0.5178,1,32,33,L1,,2 ferricytochrome C[m] + 2 H+[m] + ubiquinol[m] => 2 ferrocytochrome C[m] + ubiquinone[m] + 4 H+[i],,,,,,,
Egg vs L1,Egg,L1,MAR09047,H2O exchange,Exchange/demand reactions,1.0,0.0,0.0,0.025402,517.850721,517.825319,1000.11518,0.5178,1,33,34,L1,,H2O[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR03980,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,ROS detoxification,1.0,0.0,0.0,0.296396,256.541846,256.245449,496.404153,0.5162,1,34,35,L1,,2 H2O2[c] => 2 H2O[c] + O2[c],,,,,,,
Egg vs L1,Egg,L1,MAR09884,Folate Transport by Oats,Extracellular transport,1.0,0.0,0.0,0.004918,-501.625494,-501.630411,999.173054,0.502,1,35,36,Egg,,folate[e] + sulfate[c] <=> folate[c] + sulfate[e],,,,,,,
Egg vs L1,Egg,L1,MAR10364,"Transport of Methylmalonate, Antiport with Sulphate",Extracellular transport,1.0,0.0,0.0,0.004918,-501.625494,-501.630411,999.173054,0.502,1,36,37,Egg,,methylmalonate[c] + sulfate[e] <=> sulfate[c] + methylmalonate[e],,,,,,,
Egg vs L1,Egg,L1,MAR09883,Folate Transport by Oat1,Extracellular transport,1.0,0.0,0.0,-0.004918,501.625226,501.630144,999.172787,0.502,1,37,38,L1,,AKG[c] + folate[e] + Na+[e] <=> AKG[e] + folate[c] + Na+[c],,,,,,,
Egg vs L1,Egg,L1,MAR09383,Octadecanoate (n-C18:0) exchange,Exchange/demand reactions,1.0,0.0,0.0,-0.165709,-468.755249,-468.589539,989.583152,0.4735,1,39,40,Egg,,O2-[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR03959,Superoxide anion transport via diffusion (extracellular),Extracellular transport,1.0,0.0,0.0,-0.165709,-468.755249,-468.589539,989.583152,0.4735,1,40,41,Egg,,O2-[c] <=> O2-[e],,,,,,,
Egg vs L1,Egg,L1,MAR06916,ATP phosphohydrolase,Oxidative phosphorylation,1.0,0.0,0.0,0.032173,35.741468,35.709295,77.533073,0.4606,1,41,42,L1,,ADP[m] + Pi[m] + 3 H+[i] => ATP[m] + 2 H+[m] + H2O[m],,,,,,,
Egg vs L1,Egg,L1,MAR00632,Acyl-CoA:1-acyl-sn-glycero-3-phosphocholine O-acyltransferase,Glycerophospholipid metabolism,1.0,0.0,0.0,0.004688,0.089316,0.084628,0.202798,0.4173,1,44,45,L1,,2-lysolecithin pool[c] + acyl-CoA pool[c] => CoA[c] + PC-LD pool[c],,,,,,,
Egg vs L1,Egg,L1,MAR00628,Exchange of Lysophosphatidylcholine,Exchange/demand reactions,1.0,0.0,0.0,-0.004689,-0.089316,-0.084627,0.202798,0.4173,1,45,46,Egg,,2-lysolecithin pool[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR01499,Lysophosphatidylcholine Transport,Extracellular transport,1.0,0.0,0.0,0.004689,0.089316,0.084627,0.202798,0.4173,1,46,47,L1,,2-lysolecithin pool[e] <=> 2-lysolecithin pool[c],,,,,,,
Egg vs L1,Egg,L1,MAR05043,Phosphate transporter  mitochondrial,Mitochondrial transport,1.0,0.0,0.0,0.030901,23.145876,23.114976,60.79354,0.3802,1,50,51,L1,,Pi[c] + H+[i] => H+[m] + Pi[m],,,,,,,
Egg vs L1,Egg,L1,MAR09069,L-Serine exchange,Exchange/demand reactions,1.0,0.0,0.0,-0.062736,0.019596,0.082332,0.242328,0.3398,1,51,52,L1,,serine[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR03763,(S)-Methylmalonyl-CoA hydrolase,"Valine, leucine, and isoleucine metabolism",0.966,0.0,0.0,0.049799,1.085267,1.035468,1.499739,0.6904,49,19,68,L1,,CoA[m] + H+[m] + methylmalonate[m] => (R)-methylmalonyl-CoA[m] + H2O[m],,,,,,,
