Comparison,Group 1,Group 2,Reaction ID,Reaction name,Subsystem,D,p-value,q-value (BH),Median Egg,Median L1,Delta median,Pooled range,Relative delta,Rank D,Rank relative delta,Combined score,Higher median in,Shown in Fig. 5,Equation,Median L2,Median L3,Median L4,Median L4f,Median Af,Median L4m,Median Am
Egg vs L1,Egg,L1,MAR03215,(R)-Methylmalonyl-CoA CoA-carbonylmutase,"Valine, leucine, and isoleucine metabolism",0.966,0.0,0.0,0.049799,1.085267,1.035468,1.499739,0.6904,49,20,69,L1,,(R)-methylmalonyl-CoA[m] <=> succinyl-CoA[m],,,,,,,
Egg vs L1,Egg,L1,MAR04852,"Dicarboxylate/tricarboxylate carrier (mal:akg), mitochondrial",Mitochondrial transport,0.995,0.0,0.0,0.049799,5.34308,5.29328,10.090376,0.5246,40,30,70,L1,,AKG[c] + malate[m] <=> AKG[m] + malate[c],,,,,,,
Egg vs L1,Egg,L1,MAR03789,"Transport of Methylmalonate, Mitochondrial",Mitochondrial transport,0.966,0.0,0.0,0.049799,1.085267,1.035468,1.499739,0.6904,49,21,70,L1,,methylmalonate[c] <=> methylmalonate[m],,,,,,,
Egg vs L1,Egg,L1,MAR10243,Exchange of Methylmalonate,Exchange/demand reactions,0.966,0.0,0.0,-0.049799,-1.085267,-1.035468,1.499739,0.6904,49,22,71,Egg,,methylmalonate[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR09079,H+ exchange,Exchange/demand reactions,0.999,0.0,0.0,-0.225976,-483.050679,-482.824703,1002.875331,0.4814,39,38,77,Egg,,H+[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR08676,L-carnitine outward transport (H+ antiport),Extracellular transport,0.954,0.0,0.0,0.012983,0.176987,0.164004,0.310369,0.5284,56,27,83,L1,,L-carnitine[c] <=> L-carnitine[e],,,,,,,
Egg vs L1,Egg,L1,MAR09292,NC22:6 exchange,Exchange/demand reactions,0.954,0.0,0.0,0.012983,0.176987,0.164004,0.310369,0.5284,56,28,84,L1,,L-carnitine[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR12040,Ceramide Diffusion,Sphingolipid metabolism,0.985,0.0,0.0,0.017485,0.181971,0.164486,0.396877,0.4145,43,47,90,L1,,ceramide pool[e] <=> ceramide pool[c],,,,,,,
Egg vs L1,Egg,L1,MAR04384,Exchange of N-Acylsphingosine,Exchange/demand reactions,0.985,0.0,0.0,-0.017485,-0.181971,-0.164486,0.396877,0.4145,43,48,91,Egg,,ceramide pool[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR03977,diphosphate phosphohydrolase,Oxidative phosphorylation,0.985,0.0,0.0,0.143371,5.948224,5.804853,20.217112,0.2871,43,54,97,L1,,H2O[c] + PPi[c] => H+[c] + 2 Pi[c],,,,,,,
Egg vs L1,Egg,L1,MAR04139,(S)-malate:NAD+ oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.982,0.0,0.0,-0.049821,-4.429902,-4.380082,14.051909,0.3117,46,52,98,Egg,,H+[c] + NADH[c] + OAA[c] <=> malate[c] + NAD+[c],,,,,,,
Egg vs L1,Egg,L1,MAR04947,,Extracellular transport,0.792,2.378637707353e-312,4.220163674335e-312,-0.075752,-0.35296,-0.277208,0.66012,0.4199,62,42,104,Egg,,UTP[c] <=> UTP[e],,,,,,,
Egg vs L1,Egg,L1,MAR09440,L-Valine exchange,Exchange/demand reactions,0.792,2.378637707353e-312,4.15317694935e-312,-0.075752,-0.35296,-0.277208,0.66012,0.4199,62,43,105,Egg,,UTP[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR04874,Transport of NH3 (c to m),Mitochondrial transport,0.795,3.65394511e-315,6.58908135e-315,0.005684,0.080425,0.074741,0.182979,0.4085,61,49,110,L1,,NH3[c] <=> NH3[m],,,,,,,
Egg vs L1,Egg,L1,MAR09061,L-Alanine exchange,Exchange/demand reactions,0.799,6.0023e-319,1.100423e-318,-0.036196,0.017483,0.053679,0.177657,0.3022,60,53,113,L1,,alanine[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR08987,"Diphopshate Transporter, Mitochondrial",Mitochondrial transport,0.979,0.0,0.0,0.06984,5.621585,5.551745,24.974391,0.2223,47,71,118,L1,,PPi[c] <=> PPi[m],,,,,,,
Egg vs L1,Egg,L1,MAR06912,diphosphate phosphohydrolase,Oxidative phosphorylation,0.979,0.0,0.0,0.072062,5.623607,5.551546,24.974214,0.2223,47,72,119,L1,,H2O[m] + PPi[m] => H+[m] + 2 Pi[m],,,,,,,
Egg vs L1,Egg,L1,MAR04948,Acetaldehyde reversible transport,Extracellular transport,0.663,1.8690680016581808e-208,2.855520558088887e-208,0.453918,-0.319394,-0.773312,3.231468,0.2393,69,60,129,Egg,,acetaldehyde[c] <=> acetaldehyde[e],,,,,,,
Egg vs L1,Egg,L1,MAR00656,Exchange of Phosphatidylethanolamine,Exchange/demand reactions,0.987,0.0,0.0,-0.001368,-0.040235,-0.038867,0.266177,0.146,41,89,130,Egg,,PE-LD pool[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR09242,Type IIIAb exchange,Exchange/demand reactions,0.663,1.8690680016581808e-208,2.855520558088887e-208,0.453918,-0.319394,-0.773312,3.231468,0.2393,69,61,130,Egg,,acetaldehyde[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR04398,2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming),Pentose phosphate pathway,0.663,1.8690680016581808e-208,2.855520558088887e-208,0.453918,-0.319394,-0.773312,3.231468,0.2393,69,62,131,Egg,,2-deoxy-D-ribose-5-phosphate[c] <=> acetaldehyde[c] + D-glyceraldehyde 3-phosphate[c],,,,,,,
Egg vs L1,Egg,L1,MAR01601,Phosphatidylethanolamine Transport,Extracellular transport,0.987,0.0,0.0,0.001368,0.040235,0.038867,0.266177,0.146,41,90,131,L1,,PE-LD pool[e] <=> PE-LD pool[c],,,,,,,
Egg vs L1,Egg,L1,MAR04710,"2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase",Pentose phosphate pathway,0.663,1.8690680016581808e-208,2.855520558088887e-208,0.453918,-0.319394,-0.773312,3.231468,0.2393,69,63,132,Egg,,2-deoxy-D-ribose-1-phosphate[c] <=> 2-deoxy-D-ribose-5-phosphate[c],,,,,,,
Egg vs L1,Egg,L1,ASCTm,Acetate:succinate CoA-transferase,,0.623,6.025699096823711e-182,8.183048156180349e-182,0.140126,0.097528,-0.042598,0.163986,0.2598,77,55,132,Egg,,succinate[m] + acetyl-CoA[m] => succinyl-CoA[m] + acetate[m],,,,,,,
Egg vs L1,Egg,L1,MAR10197,Exchange of Acetyl-Lysine,Exchange/demand reactions,0.623,6.025699096823711e-182,8.183048156180349e-182,0.140126,0.097528,-0.042598,0.163986,0.2598,77,56,133,Egg,,Acetyl-L-Lysine[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR00061,Acetate Mitochondrial Transport via Proton Symport,Mitochondrial transport,0.623,6.025699096823711e-182,8.183048156180349e-182,-0.140126,-0.097528,0.042598,0.163986,0.2598,77,57,134,L1,,acetate[c] + H+[c] <=> acetate[m] + H+[m],,,,,,,
Egg vs L1,Egg,L1,MAR07638,Uncoupling protein,Mitochondrial transport,0.964,0.0,0.0,0.174244,5.769789,5.595545,34.595307,0.1617,53,81,134,L1,,H+[c] => H+[m],,,,,,,
Egg vs L1,Egg,L1,MAR09996,"Transport of Acetyl-Lysine, Extracellular",Extracellular transport,0.623,6.025699096823711e-182,8.183048156180349e-182,0.140126,0.097528,-0.042598,0.163986,0.2598,77,58,135,Egg,,Acetyl-L-Lysine[c] <=> Acetyl-L-Lysine[e],,,,,,,
Egg vs L1,Egg,L1,MAR09952,Hydrolysis of Acetyl-Lysine,Lysine metabolism,0.623,6.025699096823711e-182,8.183048156180349e-182,-0.140126,-0.097528,0.042598,0.163986,0.2598,77,59,136,L1,,H2O[c] + Acetyl-L-Lysine[c] <=> acetate[c] + lysine[c],,,,,,,
Egg vs L1,Egg,L1,MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),Glycolysis / Gluconeogenesis,0.652,6.295263685525849e-201,9.357824397403287e-201,-0.453918,0.300653,0.75457,3.199157,0.2359,73,66,139,L1,,"1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> D-glyceraldehyde 3-phosphate[c] + NAD+[c] + Pi[c]",,,,,,,
Egg vs L1,Egg,L1,MAR13080,Htmi,Mitochondrial transport,0.964,0.0,0.0,0.431668,19.89994,19.468272,126.701886,0.1537,53,87,140,L1,,H+[i] => H+[m],,,,,,,
Egg vs L1,Egg,L1,MAR09862,Exchange of 3-Phospho-D-Glycerate,Exchange/demand reactions,0.652,6.295263685525849e-201,9.111565860629518e-201,0.453918,-0.300653,-0.75457,3.199157,0.2359,73,67,140,Egg,,3-phospho-D-glycerate[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR09836,Transport of 3-Phospho-D-Glycerate,Extracellular transport,0.652,6.295263685525849e-201,9.111565860629518e-201,-0.453918,0.300653,0.75457,3.199157,0.2359,73,68,141,L1,,3-phospho-D-glycerate[e] <=> 3-phospho-D-glycerate[c],,,,,,,
Egg vs L1,Egg,L1,MAR09259,L-Alanine exchange,Exchange/demand reactions,0.961,0.0,0.0,-0.004918,0.428144,0.433062,2.738744,0.1581,55,86,141,L1,,AKG[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR09354,EX hco3 LPAREN e RPAREN ,Exchange/demand reactions,0.773,5.249252134161708e-295,8.88334976550443e-295,-0.292255,-262.547004,-262.254749,1439.100242,0.1822,65,77,142,Egg,,H2O2[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,Glycolysis / Gluconeogenesis,0.652,6.295263685525849e-201,9.486013772710183e-201,0.453918,-0.300653,-0.75457,3.199157,0.2359,73,69,142,Egg,,"1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]",,,,,,,
Egg vs L1,Egg,L1,MAR08408,Hydrogen peroxide transport via diffusion,Extracellular transport,0.774,6.716912257354609e-296,1.1544692942328237e-295,-0.470443,-262.547004,-262.076561,1439.100242,0.1821,64,78,142,Egg,,H2O2[c] <=> H2O2[e],,,,,,,
Egg vs L1,Egg,L1,MAR05079,Transport of serine (e to c),Extracellular transport,0.668,6.144061936918964e-212,9.93892372148656e-212,0.074667,0.042271,-0.032396,0.178189,0.1818,66,79,145,Egg,,serine[e] => serine[c],,,,,,,
Egg vs L1,Egg,L1,MAR04847,Adenine transport via diffusion,Extracellular transport,0.668,6.144061936918964e-212,9.93892372148656e-212,0.102808,-0.323626,-0.426434,2.657925,0.1604,66,82,148,Egg,,adenine[c] <=> adenine[e],,,,,,,
Egg vs L1,Egg,L1,MAR08619,Ascorbic acid oxidase,Ascorbate and aldarate metabolism,0.927,0.0,0.0,0.082853,2.396125,2.313272,19.771453,0.117,58,91,149,L1,,ascorbate[c] + 2 H+[c] + 2 O2-[c] => dehydroascorbic acid[c] + 2 H2O2[c],,,,,,,
Egg vs L1,Egg,L1,MAR09253,ADPribose 2'-phosphate exchange,Exchange/demand reactions,0.668,6.144061936918964e-212,9.93892372148656e-212,0.102808,-0.323626,-0.426434,2.657925,0.1604,66,83,149,Egg,,adenine[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR06396,Dehydroascorbate reductase,Ascorbate and aldarate metabolism,0.927,0.0,0.0,0.082853,2.396125,2.313272,19.771453,0.117,58,92,150,L1,,dehydroascorbic acid[c] + H+[c] + NADPH[c] => ascorbate[c] + NADP+[c],,,,,,,
Egg vs L1,Egg,L1,MAR09072,Phosphate exchange,Exchange/demand reactions,0.504,6.683182560861084e-116,8.548256763892082e-116,0.341266,2.303629,1.962363,8.529822,0.2301,86,70,156,L1,,Pi[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR02351,Facilitated diffusion of phosphate (c to e),Extracellular transport,0.444,4.699807624055577e-89,5.558912243506597e-89,264.325418,501.713932,237.388514,999.030395,0.2376,93,64,157,L1,,Pi[c] => Pi[e],,,,,,,
Egg vs L1,Egg,L1,MAR10366,"Transport of Methylmalonate, Antiport with Phsophate",Extracellular transport,0.441,8.12788713215682e-88,9.511357282311174e-88,263.833738,500.571639,236.737901,997.854464,0.2372,94,65,159,L1,,methylmalonate[c] + Pi[e] <=> Pi[c] + methylmalonate[e],,,,,,,
Egg vs L1,Egg,L1,MAR04002,ATP:AMP phosphotransferase,Purine metabolism,0.537,1.9639935039866535e-132,2.634625432177218e-132,-0.093995,0.01205,0.106044,0.618814,0.1714,82,80,162,L1,,2 ADP[c] <=> AMP[c] + ATP[c],,,,,,,
Egg vs L1,Egg,L1,MAR06328,ATP:ADP phosphatransferase,Mitochondrial transport,0.454,2.987463976455781e-93,3.6112201913201737e-93,-376.879174,21.70632,398.585494,1996.55655,0.1996,91,73,164,L1,,ADP[c] + ATP[m] <=> ADP[m] + ATP[c],,,,,,,
Egg vs L1,Egg,L1,MAR09041,L-Lysine exchange,Exchange/demand reactions,0.424,5.526786377018911e-81,6.332776057000837e-81,-0.153902,-0.127702,0.026199,0.135054,0.194,96,74,170,L1,,lysine[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR04010,adenosine 5'-monophosphate phosphohydrolase,Purine metabolism,0.47,3.4081594308883767e-100,4.2601992886104707e-100,0.102808,0.189748,0.08694,0.588875,0.1476,88,88,176,L1,,AMP[c] + H2O[c] => adenosine[c] + Pi[c],,,,,,,
Egg vs L1,Egg,L1,MAR09255,Adrenic acid exchange,Exchange/demand reactions,0.257,2.0264232315663477e-29,2.143332264156714e-29,0.268851,0.160638,-0.108213,0.581402,0.1861,103,75,178,Egg,,ADP[e] <=> ,,,,,,,
Egg vs L1,Egg,L1,MAR07781,Adp exchange,Extracellular transport,0.257,2.0264232315663477e-29,2.1641413152650318e-29,0.268851,0.160638,-0.108213,0.581402,0.1861,103,76,179,Egg,,ADP[c] => ADP[e],,,,,,,
Egg vs L1,Egg,L1,MAR20137,MAR20137,Mitochondrial transport,0.478,9.005752037838127e-104,1.1386583036347058e-103,188.604689,-19.198072,-207.802761,1994.975746,0.1042,87,93,180,Egg,,CTP[c] + GTP[m] <=> CTP[m] + GTP[c],,,,,,,
Egg vs L1,Egg,L1,MAR04963,,Mitochondrial transport,0.304,3.500009801152419e-41,3.9285824298649605e-41,0.049799,0.080425,0.030625,0.192254,0.1593,97,84,181,L1,,glutamate[m] + proline[c] => glutamate[c] + proline[m],,,,,,,
Egg vs L1,Egg,L1,MAR05126,L proline transport  mitochondrial,Mitochondrial transport,0.304,3.500009801152419e-41,3.9285824298649605e-41,0.049799,0.080425,0.030625,0.192254,0.1593,97,85,182,L1,,proline[m] + H+[i] => H+[m] + proline[c],,,,,,,
Egg vs L1,Egg,L1,MAR08486,adenosine:phosphate alpha-D-ribosyltransferase,Nucleotide metabolism,0.533,2.3252258311106352e-130,3.08162459544783e-130,0.102808,-0.051887,-0.154695,2.824633,0.0548,83,100,183,Egg,,adenosine[c] + Pi[c] <=> adenine[c] + ribose-1-phosphate[c],,,,,,,
Egg vs L1,Egg,L1,MAR04152,Succinate:CoA ligase (ADP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.461,2.968800778577628e-96,3.6693043330734738e-96,-188.368078,-6.690243,181.677835,1996.578614,0.091,89,96,185,L1,,ADP[m] + Pi[m] + succinyl-CoA[m] <=> ATP[m] + CoA[m] + succinate[m],,,,,,,
