Bioproject,run,description
PRJNA756739,SRR16757895,replication 3 of L3
PRJNA756739,SRR16757896,replication 2 of L3
PRJNA756739,SRR16757897,replication 1 of L3
PRJNA756739,SRR16757898,replication 3 of Af
PRJNA756739,SRR16757899,replication 2 of Af
PRJNA756739,SRR16757900,replication 1 of Af
PRJNA756739,SRR16757901,replication 3 of Am
PRJNA756739,SRR16757902,replication 2 of Am
PRJNA756739,SRR16757903,replication 1 of Am
PRJNA438843,SRR6865591,replication 1 of L4
PRJNA438843,SRR6865602,replication 5 of L3
PRJNA438843,SRR6865603,replication 4 of L3
PRJNA438843,SRR6865604,replication 3 of L3
PRJNA438843,SRR6865607,replication 2 of L3
PRJNA438843,SRR6865605,replication 1 of L3
PRJNA205196,SRR928057,egg
PRJNA205196,SRR928058,L1
PRJNA205196,SRR928059,L2-1
PRJNA205196,SRR928060,L2-2
PRJNA205196,SRR928061,L3
PRJNA205196,SRR928062,L4 female
PRJNA205196,SRR928063,L4 male

