Reaction ID,Reaction name,Subsystem,Present in,"Carbon-normalised yield (Am, reference)",Carbon-normalised yield (Af),"Yield difference (Am - Af, Am as reference)",Higher yield in,Active in pFBA (Af),Active in pFBA (Am)
MAR04552,melatonin radical synthesis,Serotonin and melatonin biosynthesis,Am only,0.041481110456362,0.0,0.041481110456362,Am,False,True
MAR09386,Exchange of hydroxide,Exchange/demand reactions,Am only,-0.041481110456362,0.0,-0.041481110456362,Af,False,True
MAR06783,3-(4-hydroxyphenyl)lactate hydro-lyase (4-coumarate-forming),"Phenylalanine, tyrosine and tryptophan biosynthesis",Am only,0.041481110456362,0.0,0.041481110456362,Am,False,True
MAR03168,melatonin hydrolase (c) #2,Tryptophan metabolism,Am only,-0.041481110456362,0.0,-0.041481110456362,Af,False,True
MAR09968,Transport of 4-hydroxyphenyllactate (c->e),Transport reactions,Am only,-0.041481110456362,0.0,-0.041481110456362,Af,False,True
MAR10184,Exchange of 4-hydroxyphenyllactate,Exchange/demand reactions,Am only,-0.041481110456362,0.0,-0.041481110456362,Af,False,True
MAR11823,Exchange of 4-coumarate,Exchange/demand reactions,Am only,0.041481110456362,0.0,0.041481110456362,Am,False,True
MAR11756,Transport of 4-coumarate/hydroxide (c->e/e->c),Transport reactions,Am only,0.041481110456362,0.0,0.041481110456362,Am,False,True
MAR11318,Transport reaction #103,Transport reactions,both,-0.0556770999747713,-0.0147213099553098,-0.0409557900194615,Af,True,True
MAR09058,Exchange of CO2,Exchange/demand reactions,both,0.0,0.0364332828923716,-0.0364332828923716,Af,True,False
MAR08408,Transport of H2O2 (c->e),Transport reactions,both,-0.0168473594961999,-0.0504520938983757,0.0336047344021758,Am,True,True
MAR09354,Exchange of H2O2,Exchange/demand reactions,both,-0.0168473594961999,-0.0504520938983757,0.0336047344021758,Am,True,True
MAR04919,Transport reaction #36,Transport reactions,both,0.0030059974665845,0.0364332828923716,-0.0334272854257871,Af,True,True
MAR09437,Exchange of uracil,Exchange/demand reactions,both,0.0269040447573936,0.0,0.0269040447573936,Am,False,True
MAR04882,Transport of uracil (c->e),Transport reactions,both,0.0269040447573936,0.0,0.0269040447573936,Am,False,True
MAR20164,Transport reaction #119,Transport reactions,Am only,0.0268961518921133,0.0,0.0268961518921133,Am,False,True
MAR04512,ATP:dCMP phosphotransferase (c),Pyrimidine metabolism,Am only,0.0268000329863174,0.0,0.0268000329863174,Am,False,True
MAR08456,dCDP to dCMP (c),Nucleotide metabolism,both,-0.0269040447573936,-0.0001269712545092,-0.026777073502884403,Af,True,True
MAR04637,ATP:dTMP phosphotransferase,Pyrimidine metabolism,Af only,0.0,0.0266727938394026,-0.0266727938394026,Af,True,False
