stage,blood_input_metabolite,blood_input_full_name,blood_concentration_mmol_L_range,metabolite_id,metabolite_name,exchange_reaction_id,formula,n_carbon,action,present_in
Af,alpha-Ketoglutaric acid,2-oxoglutaric acid,24.30-39.49,MAM02456e,margaric acid,MAR00620,C17H33O2,17.0,blood_carbon_source_kept_6_over_nC,Af only
Af,LysoPC a C16:1;LysoPC a C18:1;LysoPC a C26:1;PC aa C32:2;PC aa C36:0;PC aa C36:6;PC aa C38:0;PC aa C38:6;PC aa C40:1;PC aa C40:2;PC aa C40:6;PC ae C36:0;PC ae C40:6,1-hexadecenoyl-sn-glycero-3-phosphocholine;1-oleoyl-sn-glycero-3-phosphocholine;1-hexacosenoyl-sn-glycero-3-phosphocholine;Diacyl-phosphatidylcholine C32:2;Diacyl-phosphatidylcholine C36:0;Diacyl-phosphatidylcholine C36:6;Diacyl-phosphatidylcholine C38:0;Diacyl-phosphatidylcholine C38:6;Diacyl-phosphatidylcholine C40:1;Diacyl-phosphatidylcholine C40:2;Diacyl-phosphatidylcholine C40:6;Acyl-alkyl ether phosphatidylcholine C36:0;Acyl-alkyl ether phosphatidylcholine C40:6,2.09-3.11;16.63-25.25;0.04-0.08;0.63-0.88;4.61-7.36;0.24-0.37;0.46-0.67;2.37-3.90;0.18-0.28;0.34-0.52;3.74-6.90;1.30-2.10;0.64-0.98,MAM00656e,2-lysolecithin pool,MAR00628,C8H19NO5PRCO2,9.0,blood_carbon_source_kept_6_over_nC,both
Af,Fumaric acid;Propionic acid,(E)-but-2-enedioic acid;Propanoic acid,0.82-1.71;1.14-2.64,MAM02564e,nervonic acid,MAR00637,C24H45O2,24.0,blood_carbon_source_kept_6_over_nC,Af only
Af,Urea,Carbamide,11.93-12.41,MAM01430e,ceramide pool,MAR04384,C18H36NO2RCO,19.0,blood_carbon_source_kept_6_over_nC,both
Af,C7DC (decanoylcarnitine),Pimelylcarnitine / heptanedioyl-L-carnitine,0.02-0.04,MAM01729e,dodecanoylcarnitine,MAR04923,C19H37NO4,19.0,blood_carbon_source_kept_6_over_nC,Af only
Af,Globulin,Serum globulin pool,3.29-3.69,MAM03102e,ubiquinol,MAR08967,C59H92O4,59.0,blood_carbon_source_kept_6_over_nC,both
Af,Phosphorus / inorganic phosphorus,Orthophosphate / inorganic phosphate,1.49-1.93,MAM03150e,xanthosine-5-phosphate,MAR09860,C10H11N4O9P,10.0,blood_carbon_source_kept_6_over_nC,both
Af,LysoPC a C20:3;LysoPC a C26:0,1-eicosatrienoyl-sn-glycero-3-phosphocholine;1-cerotoyl-sn-glycero-3-phosphocholine,1.40-2.25;0.06-0.11,MAM02914e,sn-glycerol-3-phosphate,MAR09868,C3H7O6P,3.0,blood_carbon_source_kept_6_over_nC,both
Af,Acetyl ornithine;C2 (acetylcarnitine);C5 (isovalerylcarnitine),N-acetyl-L-ornithine;O-acetyl-L-carnitine;O-isovaleryl-L-carnitine,7.31-12.84;1.39-2.59;0.10-0.14,MAM02634e,O-acetylcarnitine,MAR09920,C9H17NO4,9.0,blood_carbon_source_kept_6_over_nC,both
Af,C3 (propionylcarnitine);HPHPA / p-hydroxyphenylpropionic acid,O-propionyl-L-carnitine;3-(4-hydroxyphenyl)propanoic acid,0.14-0.28;0.53-2.20,MAM02657e,O-propanoylcarnitine,MAR09921,C10H19NO4,10.0,blood_carbon_source_kept_6_over_nC,both
Af,C4 (butyrylcarnitine),O-butyryl-L-carnitine,0.09-0.13,MAM02940e,stearoylcarnitine,MAR09924,C25H49NO4,25.0,blood_carbon_source_kept_6_over_nC,Af only
Af,C16 (palmitoylcarnitine),O-palmitoyl-L-carnitine,0.03-0.04,MAM02411e,L-palmitoylcarnitine,MAR09925,C23H45NO4,23.0,blood_carbon_source_kept_6_over_nC,Af only
Af,Uric acid;beta-Hydroxybutyric acid;p-Hydroxyhippuric acid,"2,6,8-trihydroxypurine;3-hydroxybutanoic acid;4-hydroxyhippuric acid",2.52-8.07;167.76-540.41;0.01-0.28,MAM01052e,"5,6-Dihydrouracil",MAR10193,C4H6N2O2,4.0,blood_carbon_source_kept_6_over_nC,both
Af,Methylmalonic acid;Trimethylamine N-oxide,2-methylpropanedioic acid;Trimethylamine N-oxide,0.22-0.54;1.21-70.14,MAM02479e,methylmalonate,MAR10243,C4H4O4,4.0,blood_carbon_source_kept_6_over_nC,both
Af,Citrulline;Homocysteine,L-citrulline;L-homocysteine,171.61-284.46;7.05-10.30,MAM03681e,Homocitrulline,MAR10249,C7H15N3O3,7.0,blood_carbon_source_kept_6_over_nC,Af only
Af,Glucose,D-glucose,3.96-4.12,MAM01973e,glucuronate,MAR11424,C6H9O7,6.0,blood_carbon_source_kept_6_over_nC,both
Af,SM C16:0;SM C16:1;SM C18:0;SM C18:1;SM C20:2;SM(OH) C14:1;SM(OH) C16:1;SM(OH) C22:1;SM(OH) C22:2;SM(OH) C24:1,N-palmitoyl-sphingomyelin;N-hexadecenoyl-sphingomyelin;N-stearoyl-sphingomyelin;N-oleoyl-sphingomyelin;N-eicosadienoyl-sphingomyelin;Hydroxysphingomyelin C14:1;Hydroxysphingomyelin C16:1;Hydroxysphingomyelin C22:1;Hydroxysphingomyelin C22:2;Hydroxysphingomyelin C24:1,43.41-60.05;2.86-4.18;4.50-6.62;1.61-2.31;0.11-0.16;3.05-4.65;5.14-8.12;6.03-9.30;3.90-5.80;1.53-2.07,MAM02929e,sphingosine,MAR11947,C18H38NO2,18.0,blood_carbon_source_kept_6_over_nC,both
Af,C16:1,Hexadecenoyl-L-carnitine,0.04-0.06,MAM02117e,hexadecenoylcarnitine(9),MAR11949,C23H43NO4,23.0,blood_carbon_source_kept_6_over_nC,Af only
Af,alpha-Aminoadipic acid,2-aminoadipic acid,2.25-5.16,MAM02613e,nonadecylic acid,MAR13059,C19H37O2,19.0,blood_carbon_source_kept_6_over_nC,Af only
Af,Butyric acid,Butanoic acid,1.83-7.46,MAM03045e,tricosanoic acid,MAR13061,C23H45O2,23.0,blood_carbon_source_kept_6_over_nC,Af only
Am,C16 (palmitoylcarnitine),O-palmitoyl-L-carnitine,0.03-0.04,MAM02443e,malonyl-carnitine,MAR04886,C10H16NO6,10.0,blood_carbon_source_kept_6_over_nC,Am only
Am,Butyric acid;C4 (butyrylcarnitine);C4OH,Butanoic acid;O-butyryl-L-carnitine;3-hydroxybutyryl-L-carnitine,1.83-7.46;0.09-0.13;0.05-0.17,MAM02635e,O-butanoylcarnitine,MAR04889,C11H21NO4,11.0,blood_carbon_source_kept_6_over_nC,Am only
Am,C16:1;C7DC (decanoylcarnitine),Hexadecenoyl-L-carnitine;Pimelylcarnitine / heptanedioyl-L-carnitine,0.04-0.06;0.02-0.04,MAM03498e,Hexanoyl Carnitine,MAR04899,C13H25NO4,13.0,blood_carbon_source_kept_6_over_nC,Am only
Am,Homocysteine,L-homocysteine,7.05-10.30,MAM02871e,SAH,MAR09026,C14H20N6O5S,14.0,blood_carbon_source_kept_6_over_nC,Am only
Am,HPHPA / p-hydroxyphenylpropionic acid;Homovanillic acid;SM(OH) C14:1;SM(OH) C16:1,3-(4-hydroxyphenyl)propanoic acid;2-(4-hydroxy-3-methoxyphenyl)acetic acid;Hydroxysphingomyelin C14:1;Hydroxysphingomyelin C16:1,0.53-2.20;0.06-0.23;3.05-4.65;5.14-8.12,MAM01004e,4-hydroxyphenyllactate,MAR10184,C9H9O4,9.0,blood_carbon_source_kept_6_over_nC,Am only
Am,Fumaric acid,(E)-but-2-enedioic acid,0.82-1.71,MAM01862e,fumarate,MAR11400,C4H2O4,4.0,blood_carbon_source_kept_6_over_nC,Am only
