stage,blood_input_metabolite,blood_input_full_name,blood_concentration_mmol_L_range,metabolite_id,metabolite_name,exchange_reaction_id,formula,n_carbon,action,present_in
Af,Carnosine,Beta-alanyl-L-histidine,26.04-50.47,MAM02125e,histidine,MAR09038,C6H9N3O2,6.0,blood_carbon_source_kept_6_over_nC,both
Af,Methionine sulfoxide;Creatinine,L-methionine S-oxide;2-amino-1-methyl-5H-imidazol-4-one,2.51-4.36;86.65-91.01,MAM02471e,methionine,MAR09042,C5H11NO2S,5.0,blood_carbon_source_kept_6_over_nC,both
Af,Kynurenine;Taurine,L-kynurenine;2-aminoethanesulfonic acid,4.07-11.02;82.03-138.34,MAM02993e,threonine,MAR09044,C4H9NO3,4.0,blood_carbon_source_kept_6_over_nC,both
Af,Tryptophan,L-tryptophan,48.88-61.79,MAM03089e,tryptophan,MAR09045,C11H12N2O2,11.0,blood_carbon_source_kept_6_over_nC,both
Af,Albumin,Serum albumin,2.38-2.64,MAM03135e,valine,MAR09046,C5H11NO2,5.0,blood_carbon_source_kept_6_over_nC,both
Af,Putrescine;Spermidine;Spermine,"Butane-1,4-diamine;N-(3-aminopropyl)butane-1,4-diamine;N,N-bis(3-aminopropyl)butane-1,4-diamine",0.05-0.11;0.01-0.03;0.06-0.10,MAM01975e,glutamine,MAR09063,C5H10N2O3,5.0,blood_carbon_source_kept_6_over_nC,both
Af,Asymmetric dimethylarginine;Total dimethylarginine;Magnesium,"N(G),N(G)-dimethyl-L-arginine;Total dimethylated arginine pool;Magnesium ion",2.25-3.79;4.50-7.67;0.83-0.89,MAM01365e,arginine,MAR09066,C6H15N4O2,6.0,blood_carbon_source_kept_6_over_nC,both
Af,LysoPC a C18:2;LysoPC a C24:0,1-linoleoyl-sn-glycero-3-phosphocholine;1-lignoceroyl-sn-glycero-3-phosphocholine,21.14-30.40;0.25-0.31,MAM01986e,glycine,MAR09067,C2H5NO2,2.0,blood_carbon_source_kept_6_over_nC,both
Af,trans-Hydroxyproline,trans-4-hydroxy-L-proline,15.29-23.90,MAM02770e,proline,MAR09068,C5H9NO2,5.0,blood_carbon_source_kept_6_over_nC,Af only
Af,LysoPC a C14:0;LysoPC a C16:0;LysoPC a C17:0;LysoPC a C18:0;LysoPC a C20:4;LysoPC a C28:0;LysoPC a C28:1,1-myristoyl-sn-glycero-3-phosphocholine;1-palmitoyl-sn-glycero-3-phosphocholine;1-heptadecanoyl-sn-glycero-3-phosphocholine;1-stearoyl-sn-glycero-3-phosphocholine;1-arachidonoyl-sn-glycero-3-phosphocholine;1-montanoyl-sn-glycero-3-phosphocholine;1-octacosenoyl-sn-glycero-3-phosphocholine,2.51-3.68;36.47-50.30;3.30-5.21;23.96-32.44;2.94-4.20;0.10-0.17;0.06-0.12,MAM00549e,1-organyl-2-lyso-sn-glycero-3-phosphocholine,MAR09172,C8H19NO6PR,8.0,blood_carbon_source_kept_6_over_nC,both
Af,Calcium,Calcium ion,2.87-3.09,MAM01415e,calcidiol,MAR09215,C27H44O2,27.0,blood_carbon_source_kept_6_over_nC,both
Af,Total bilirubin,Bilirubin IX-alpha,5.58-6.16,MAM01397e,bilirubin-bisglucuronoside,MAR09271,C45H50N4O18,45.0,blood_carbon_source_kept_6_over_nC,both
Af,C4OH,3-hydroxybutyryl-L-carnitine,0.05-0.17,MAM02348e,L-carnitine,MAR09292,C7H15NO3,7.0,blood_carbon_source_kept_6_over_nC,both
Af,Serotonin,5-hydroxytryptamine,5.66-13.15,MAM02159e,hypoxanthine,MAR09358,C5H4N4O,5.0,blood_carbon_source_kept_6_over_nC,Af only
Af,Homovanillic acid;Indole acetic acid,2-(4-hydroxy-3-methoxyphenyl)acetic acid;Indole-3-acetic acid,0.06-0.23;0.60-1.80,MAM01432e,cerotic acid,MAR00618,C26H51O2,26.0,blood_carbon_source_kept_6_over_nC,Af only
