BiGG ID,HaeconGEM reaction ID,Reaction name,Subsystem,Present in,Carbon-normalised yield (Am),Carbon-normalised yield (Af),Verdict,Abbreviation used in text
PGK,MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,Glycolysis / Gluconeogenesis,both,0.0065547451533099,0.0269101047098196,Higher in Af,PGK
TPI,MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,both,0.0,0.0134550275257427,Only in Af,TPI
GAPD,MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),Glycolysis / Gluconeogenesis,both,-0.0065547451533099,-0.0269101047098196,Higher in Af,GAPD
RBK,MAR04350,ATP:D-ribose 5-phosphotransferase,Pentose phosphate pathway,both,0.0271574922074079,0.0099603474014661,Higher in Am,RBK
PPM,MAR04354,"D-Ribose 1,5-phosphomutase",Pentose phosphate pathway,both,0.0271574922074079,0.0099603474014661,Higher in Am,PPM
SUCOASm,MAR04152,Succinate:CoA ligase (ADP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,both,0.010337879963303,0.0173202241594316,Higher in Af,SUCOASm
SUCOAS1m,MAR04147,Succinate:CoA ligase (GDP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,both,-0.0003255517761717,-0.000217442567526,Higher in Am,SUCOAS1m
SUCD1m,MAR04652,succinate:quinone oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,both,-0.0035544772464916,-0.0152433681575144,Higher in Af,SUCD1m
ACt2m,MAR00061,Acetate Mitochondrial Transport via Proton Symport,Transport reactions,both,-0.0071089544929832,-0.0022942985694432,Higher in Am,ACt2r
ACALDt,MAR04948,Transport of acetaldehyde (c to e),Transport reactions,both,0.0065547451533099,0.0,Only in Am,ACALDt
DTMPKm,MAR08274,DTMP Kinase in Mitochondria,Pyrimidine metabolism,both,7.210432615748503e-05,0.0267348667570386,Higher in Af,DTMPK
UMPK,MAR04008,ATP:UMP phosphotransferase,Pyrimidine metabolism,both,0.026775115105977,0.053125449199733,Higher in Af,UMPK3
ADK1,MAR04002,ATP:AMP phosphotransferase,Purine metabolism,both,0.0,-0.018375909963933,Only in Af,ADK1
ADK1m,MAR04004,ATP:AMP phosphotransferase,Purine metabolism,Af only,0.0,-6.207291763596827e-05,Only in Af,ADK1m
