Model,Reaction ID,Reaction name,Subsystem,EC number,Minimum flux,Maximum flux,Flux range width,Range includes zero,Present in both models
Am,MAR09067,Exchange of glycine,Exchange/demand reactions,,-0.0111896883525689,-0.0089517506820551,0.0022379376705138,no,yes
Am,MAR09069,Exchange of serine,Exchange/demand reactions,,-0.0388692667088027,-0.0310954133670422,0.0077738533417605,no,yes
Am,MAR09070,Exchange of aspartate,Exchange/demand reactions,,-0.0312131641517818,-0.0249705313214255,0.0062426328303563,no,yes
Am,MAR09071,Exchange of glutamate,Exchange/demand reactions,,0.0,0.0139290290950384,0.0139290290950384,yes,no
Am,MAR09072,Exchange of Pi,Exchange/demand reactions,,0.2779354043732984,1.4649329511581834,1.186997546784885,no,yes
Am,MAR09076,Exchange of Fe2+,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09079,Exchange of H+,Exchange/demand reactions,,-1.3506013508996326,1.1907382424782156,2.541339593377848,yes,yes
Am,MAR09103,Exchange of H2S,Exchange/demand reactions,,-0.0041225167614727,-0.0032980134091782,0.0008245033522945,no,yes
Am,MAR09107,Exchange of heme,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09108,Exchange of dihydroneopterin,Exchange/demand reactions,,0.0,0.0,0.0,yes,no
Am,MAR09109,Exchange of biotin,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09112,Transport of Phosphoenolpyruvate,Extracellular transport,1.5.1.2,-0.0011588298925176,-0.0009270639140141,0.0002317659785035,no,yes
Am,MAR09133,Exchange of pyruvate,Exchange/demand reactions,,0.0009270639140141,0.0011588298925176,0.0002317659785035,no,yes
Am,MAR09143,Exchange of riboflavin,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09151,Exchange of alpha-tocopherol,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09153,Exchange of gamma-tocopherol,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09172,Exchange of 1-organyl-2-lyso-sn-glycero-3-phosphocholine,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09209,Exchange of fatty acid pool,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09215,Exchange of calcidiol,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09242,Exchange of acetaldehyde,Exchange/demand reactions,,0.0484652386440691,0.5990664209320565,0.5506011822879874,no,yes
Am,MAR09253,Exchange of adenine,Exchange/demand reactions,,0.0,0.5506011822879875,0.5506011822879875,yes,no
Am,MAR09255,Exchange of ADP,Exchange/demand reactions,,0.0,0.4292622178315752,0.4292622178315752,yes,yes
Am,MAR09259,Exchange of AKG,Exchange/demand reactions,,-0.0423774250234632,-0.0273262551851242,0.0150511698383389,no,yes
Am,MAR09269,Exchange of aquacob(III)alamin,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09271,Exchange of bilirubin-bisglucuronoside,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09272,Exchange of bilirubin-monoglucuronoside,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09292,Exchange of L-carnitine,Exchange/demand reactions,,0.0457008305050838,0.0615065442598022,0.0158057137547184,no,yes
Am,MAR09297,Exchange of deoxyadenosine,Exchange/demand reactions,,-0.6,-0.0493988177120125,0.5506011822879874,no,no
Am,MAR09298,Exchange of 5-deoxyadenosine,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09300,Exchange of deoxyguanosine,Exchange/demand reactions,,0.0,0.0,0.0,yes,no
Am,MAR09353,Exchange of guanine,Exchange/demand reactions,,0.0,0.0,0.0,yes,no
Am,MAR09354,Exchange of H2O2,Exchange/demand reactions,,-1.006937276693199,1.5032370393936647,2.5101743160868635,yes,yes
Am,MAR09358,Exchange of hypoxanthine,Exchange/demand reactions,,0.0,0.0672875347248585,0.0672875347248585,yes,yes
Am,MAR09362,Exchange of inosine,Exchange/demand reactions,,0.0,0.0677769254279317,0.0677769254279317,yes,yes
Am,MAR09378,Exchange of nicotinamide,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09383,Exchange of O2-,Exchange/demand reactions,,-1.6573769364731197,0.0,1.6573769364731197,yes,yes
Am,MAR09386,Exchange of hydroxide,Exchange/demand reactions,,-0.666666666666667,0.0,0.666666666666667,yes,no
Am,MAR09404,Exchange of retinoate,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09406,Exchange of ribose,Exchange/demand reactions,,0.2447798804492864,0.492165488057224,0.2473856076079376,no,yes
Am,MAR09423,Exchange of thymidine,Exchange/demand reactions,,-0.0011588298925176,-0.0009270639140141,0.0002317659785035,no,yes
Am,MAR09437,Exchange of uracil,Exchange/demand reactions,,0.0,1.4745576354082903,1.4745576354082903,yes,yes
Am,MAR09440,Exchange of UTP,Exchange/demand reactions,,-0.5219037134213557,-0.3030530459819977,0.2188506674393579,no,yes
Am,MAR09593,,Extracellular transport,,0.0089516798651646,0.0111895998314558,0.0022379199662911,no,yes
Am,MAR09609,,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR09637,Transport of 5-deoxyadenosine (c to e),Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR09641,Transport of sphingosine (c to e),Extracellular transport,,0.0138280601306217,0.0172850751632772,0.0034570150326554,no,yes
Am,MAR09650,Transport of coproporphyrin III (c to e),Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR09702,Exchange of coproporphyrin III,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09728,Transport of glycogen (c to e),Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR09729,Exchange of glycogen,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09824,Transport of dCMP,Extracellular transport,,0.0006686530804462,0.0008358163505577,0.0001671632701115,no,yes
Am,MAR09827,Transport of Ethanolamine Phosphate,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR09828,Transport of Fumarate,Extracellular transport,,-0.0615065442598022,-0.0457008305050838,0.0158057137547184,no,yes
Am,MAR09830,Transport of D-Glucuronate,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR09834,Transport of XMP,Extracellular transport,,0.0032586392180399,0.0040732990225498,0.0008146598045099,no,yes
Am,MAR09836,Transport of 3-Phospho-D-Glycerate,Extracellular transport,,-0.4292622178315754,0.0,0.4292622178315754,yes,yes
Am,MAR09837,Transport of UDP-Glucuronate,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR09839,Transport of Glycerophosphoric Acid,Extracellular transport,,0.0008255833098752,0.001031979137344,0.0002063958274688,no,yes
Am,MAR09847,Exchange of Deoxycytidylic Acid,Exchange/demand reactions,,-0.0008358163505577,-0.0006686530804462,0.0001671632701115,no,yes
Am,MAR09849,Exchange of Ethanolamine Phosphate,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09858,Exchange of Phosphoenolpyruvate,Exchange/demand reactions,,-0.0011588298925176,-0.0009270639140141,0.0002317659785035,no,yes
Am,MAR09860,Exchange of Xanthylic Acid,Exchange/demand reactions,,-0.0040732990225498,-0.0032586392180399,0.0008146598045099,no,yes
Am,MAR09862,Exchange of 3-Phospho-D-Glycerate,Exchange/demand reactions,,0.0,0.429262217831575,0.429262217831575,yes,yes
Am,MAR09864,Exchange,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09868,Exchange of Glycerophosphoric Acid,Exchange/demand reactions,,-0.001031979137344,-0.0008255833098752,0.0002063958274688,no,yes
Am,MAR09872,Asparagine Transport by B0At3,Extracellular transport,,0.0197880096381788,0.0247350120477235,0.0049470024095447,no,no
Am,MAR09883,Folate Transport by Oat1,Extracellular transport,,-0.0423774250234631,-0.0273262551851242,0.0150511698383389,no,no
Am,MAR09884,Folate Transport by Oats,Extracellular transport,,0.0273262551851242,0.0423774250234631,0.0150511698383389,no,no
Am,MAR09895,Methionine Transport by B0At3,Extracellular transport,,0.0108362589561236,0.0135453236951545,0.0027090647390309,no,no
Am,MAR09902,Pyruvate Transport by Smct1,Extracellular transport,,-0.0011588298925176,-0.0009270639140141,0.0002317659785035,no,yes
Am,MAR09904,Serine Transport by B0At3,Extracellular transport,,0.0,0.0388692667088027,0.0388692667088027,yes,no
Am,MAR09913,Transport of O-Propanoylcarnitine,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR09920,Exchange of O-Acetylcarnitine,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09921,Exchange of O-Propanoylcarnitine,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR09936,Formation of Phenyl-Lactate,Phenylalanine metabolism,1.1.1.28,0.0183745753199596,0.0229682191499494,0.0045936438299898,no,no
Am,MAR09939,Formation of Methyl-Histidine,Histidine metabolism,2.1.1.-,0.0,0.0,0.0,yes,yes
Am,MAR09952,Hydrolysis of Acetyl-Lysine,Lysine metabolism,3.5.1.17,-0.1230130885196046,-0.0914016610101677,0.0316114275094368,no,yes
Am,MAR09960,Transport of Phenyl Lactate,Extracellular transport,3.1.1.4,-0.0229682191499495,-0.0183745753199596,0.0045936438299898,no,no
Am,MAR09968,Transport of 3- (4-Hydroxyphenyl)Lactate,Extracellular transport,3.1.1.4,-0.666666666666667,0.0,0.666666666666667,yes,no
Am,MAR09973,Transport of Methyl-Histidine by System N Transport,Extracellular transport,3.1.1.4,0.0,0.0,0.0,yes,no
Am,MAR09983,"Transport of 5, 6-Dihydrouracil, Sodium Symport",Extracellular transport,3.1.1.4,-0.9649138305977376,0.3418518126004237,1.3067656431981614,yes,yes
